"filename", "language", "Markdown", "JSON", "Shell Script", "Rust", "Properties", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\_ayoub\.env", "Properties", 0, 0, 0, 0, 49, 0, 22, 71
"c:\Users\lenovo\Desktop\_ayoub\Ayoub Conse PaaS.postman_collection.json", "JSON", 0, 1836, 0, 0, 0, 0, 0, 1836
"c:\Users\lenovo\Desktop\_ayoub\PaaS\.env", "Properties", 0, 0, 0, 0, 27, 0, 15, 42
"c:\Users\lenovo\Desktop\_ayoub\PaaS\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\constants.rs", "Rust", 0, 0, 0, 60, 0, 0, 11, 71
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\contexts.rs", "Rust", 0, 0, 0, 4, 0, 0, 7, 11
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\contexts\app.rs", "Rust", 0, 0, 0, 127, 0, 31, 79, 237
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\contexts\bot.rs", "Rust", 0, 0, 0, 37, 0, 7, 33, 77
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\contexts\rafael.rs", "Rust", 0, 0, 0, 156, 0, 80, 135, 371
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\contexts\scheduler.rs", "Rust", 0, 0, 0, 69, 0, 52, 22, 143
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers.rs", "Rust", 0, 0, 0, 3, 0, 2, 9, 14
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth.rs", "Rust", 0, 0, 0, 8, 0, 0, 10, 18
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\_404.rs", "Rust", 0, 0, 0, 22, 0, 3, 13, 38
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\check_otp.rs", "Rust", 0, 0, 0, 173, 0, 5, 29, 207
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\check_token.rs", "Rust", 0, 0, 0, 83, 0, 5, 27, 115
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\home.rs", "Rust", 0, 0, 0, 83, 0, 5, 25, 113
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\login.rs", "Rust", 0, 0, 0, 163, 0, 5, 28, 196
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\otp_request.rs", "Rust", 0, 0, 0, 195, 0, 30, 76, 301
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\signup.rs", "Rust", 0, 0, 0, 295, 0, 10, 57, 362
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\auth\user.rs", "Rust", 0, 0, 0, 113, 0, 5, 39, 157
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event.rs", "Rust", 0, 0, 0, 12, 0, 0, 10, 22
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\_404.rs", "Rust", 0, 0, 0, 22, 0, 3, 14, 39
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\add.rs", "Rust", 0, 0, 0, 226, 0, 5, 32, 263
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\cancel.rs", "Rust", 0, 0, 0, 153, 0, 5, 28, 186
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\delete.rs", "Rust", 0, 0, 0, 163, 0, 5, 35, 203
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\expire.rs", "Rust", 0, 0, 0, 168, 0, 5, 28, 201
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\get.rs", "Rust", 0, 0, 0, 846, 0, 50, 260, 1156
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\lock.rs", "Rust", 0, 0, 0, 168, 0, 5, 30, 203
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\phase.rs", "Rust", 0, 0, 0, 204, 0, 6, 39, 249
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\reserve.rs", "Rust", 0, 0, 0, 215, 0, 12, 90, 317
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\reveal.rs", "Rust", 0, 0, 0, 224, 0, 17, 56, 297
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\simd.rs", "Rust", 0, 0, 0, 101, 0, 132, 33, 266
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\event\vote.rs", "Rust", 0, 0, 0, 180, 0, 5, 28, 213
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\game.rs", "Rust", 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\game\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\game\_404.rs", "Rust", 0, 0, 0, 22, 0, 3, 13, 38
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\controllers\game\deck.rs", "Rust", 0, 0, 0, 564, 0, 20, 109, 693
